timestamp,millis,T_ref_C,T_heater_C,T_target_C,error_C,pwm_percent,p_term,i_term,d_term,auto_mode
2026-05-14T14:40:43.321213,1178005.0,26.575,32.5859,32.5803,-0.0009,49.097,-0.0188,49.116,0.0,1
2026-05-14T14:40:43.821043,1178507.0,26.5608,32.5763,32.5676,0.0041,49.197,0.0815,49.1153,0.0,1
2026-05-14T14:40:44.321330,1179009.0,26.5667,32.5778,32.5708,0.0075,49.262,0.1502,49.1123,0.0,1
2026-05-14T14:40:44.821750,1179511.0,26.5645,32.5689,32.5728,0.0024,49.158,0.0478,49.1101,0.0,1
2026-05-14T14:40:45.321373,1180013.0,26.5684,32.5567,32.5691,0.015,49.41,0.3004,49.1099,0.0,1
2026-05-14T14:40:45.822552,1180515.0,26.5638,32.5602,32.5789,0.0079,49.271,0.1589,49.1118,0.0,1
2026-05-14T14:40:46.321234,1181017.0,26.567,32.5709,32.5647,-0.0042,49.024,-0.0843,49.1078,0.0,1
2026-05-14T14:40:46.821077,1181519.0,26.5666,32.5712,32.5538,-0.0069,48.964,-0.1386,49.1023,0.0,1
2026-05-14T14:40:47.321912,1182021.0,26.5735,32.5805,32.5784,-0.0061,48.975,-0.1221,49.0968,0.0,1
2026-05-14T14:40:47.821317,1182523.0,26.5743,32.5867,32.5738,-0.008,48.937,-0.1593,49.0968,0.0,1
2026-05-14T14:40:48.321980,1183025.0,26.5662,32.5571,32.5642,0.0047,49.191,0.0948,49.0962,0.0,1
2026-05-14T14:40:48.821699,1183527.0,26.5574,32.5698,32.5699,-0.0042,49.01,-0.0847,49.0944,0.0,1
2026-05-14T14:40:49.321798,1184029.0,26.5666,32.5665,32.5692,0.002,49.131,0.0406,49.0908,0.0,1
2026-05-14T14:40:49.821141,1184531.0,26.5656,32.551,32.5534,-0.0055,48.982,-0.1097,49.0921,0.0,1
2026-05-14T14:40:50.321361,1185033.0,26.5622,32.5699,32.562,0.003,49.154,0.061,49.0931,0.0,1
2026-05-14T14:40:50.821396,1185535.0,26.5574,32.5589,32.5453,-0.0186,48.717,-0.3725,49.0896,0.0,1
2026-05-14T14:40:51.320997,1186037.0,26.5604,32.5566,32.5599,-0.0006,49.075,-0.0129,49.0882,0.0,1
2026-05-14T14:40:51.821291,1186539.0,26.556,32.567,32.5681,0.0014,49.121,0.0283,49.0925,0.0,1
2026-05-14T14:40:52.321622,1187041.0,26.5547,32.5668,32.5556,-0.0009,49.073,-0.0188,49.0921,0.0,1
2026-05-14T14:40:52.821560,1187543.0,26.5472,32.5538,32.5537,-0.0018,49.057,-0.0366,49.0938,0.0,1
2026-05-14T14:40:53.371785,1188045.0,26.5614,32.5582,32.5602,-0.0212,48.667,-0.4237,49.0909,0.0,1
2026-05-14T14:40:53.871086,1188547.0,26.5647,32.5594,32.5603,-0.001,49.074,-0.0204,49.0944,0.0,1
2026-05-14T14:40:54.371764,1189049.0,26.5547,32.5657,32.5502,-0.0064,48.964,-0.1288,49.0929,0.0,1
2026-05-14T14:40:54.871098,1189551.0,26.555,32.5537,32.5595,0.006,49.211,0.1199,49.091,0.0,1
2026-05-14T14:40:55.371049,1190053.0,26.5477,32.5582,32.5482,-0.0055,48.979,-0.1091,49.0876,0.0,1
2026-05-14T14:40:55.871110,1190555.0,26.5479,32.5587,32.5508,-0.0018,49.052,-0.0364,49.0889,0.0,1
2026-05-14T14:40:56.371168,1191057.0,26.5485,32.5493,32.5538,-0.0007,49.084,-0.0143,49.0982,0.0,1
2026-05-14T14:40:56.870947,1191559.0,26.549,32.539,32.549,0.01,49.296,0.2,49.0963,0.0,1
2026-05-14T14:40:57.371952,1192061.0,26.537,32.5754,32.542,-0.0236,48.619,-0.472,49.0912,0.0,1
2026-05-14T14:40:57.871548,1192563.0,26.5484,32.5515,32.5449,0.0068,49.226,0.1354,49.0901,0.0,1
2026-05-14T14:40:58.371289,1193065.0,26.552,32.5525,32.5614,0.0097,49.285,0.193,49.0919,0.0,1
2026-05-14T14:40:58.871318,1193567.0,26.5495,32.5531,32.5535,-0.0083,48.924,-0.1655,49.0899,0.0,1
2026-05-14T14:40:59.371546,1194069.0,26.5476,32.5433,32.5388,-0.008,48.921,-0.1601,49.0812,0.0,1
2026-05-14T14:40:59.871709,1194571.0,26.5453,32.5419,32.5504,0.0066,49.215,0.1311,49.0835,0.0,1
2026-05-14T14:41:00.371243,1195073.0,26.5398,32.5452,32.5448,0.0168,49.419,0.3368,49.0821,0.0,1
2026-05-14T14:41:00.871252,1195575.0,26.5389,32.5456,32.5446,0.0023,49.128,0.0465,49.0811,0.0,1
2026-05-14T14:41:01.371334,1196077.0,26.5493,32.569,32.5466,-0.0078,48.92,-0.1559,49.076,0.0,1
2026-05-14T14:41:01.871212,1196579.0,26.5401,32.5592,32.5349,-0.0206,48.659,-0.4116,49.0709,0.0,1
2026-05-14T14:41:02.371141,1197081.0,26.5521,32.5513,32.5511,-0.0066,48.938,-0.1316,49.0697,0.0,1
2026-05-14T14:41:02.871084,1197583.0,26.5332,32.5518,32.5492,-0.0065,48.935,-0.1308,49.0656,0.0,1
2026-05-14T14:41:03.371165,1198085.0,26.538,32.5422,32.5401,0.0002,49.067,0.0043,49.0629,0.0,1
2026-05-14T14:41:03.870940,1198587.0,26.5439,32.5612,32.5444,0.0024,49.108,0.0475,49.0608,0.0,1
